SKU-id,Category,name,product-id,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
985,Fruits & Vegetables,Onion,1,2500,16,3,2100,1000,FALSE,1
904,Fruits & Vegetables,Tomato Hybrid,2,4200,16,3,3500,1000,FALSE,1
940,Fruits & Vegetables,Tender Coconut,3,5100,15,3,4300,58,FALSE,1
975,Fruits & Vegetables,Coriander Leaves,4,2000,15,3,1700,100,FALSE,100
960,Fruits & Vegetables,Ladies Finger ,5,1400,14,3,1200,250,FALSE,250
988,Fruits & Vegetables,Potato,6,3500,17,3,2900,1000,FALSE,1
903,Fruits & Vegetables,Lemon,7,7500,16,3,6300,200,FALSE,200
901,Fruits & Vegetables,Watermelon ,8,5800,15,3,4900,58,FALSE,1
996,Fruits & Vegetables,Capsicum Green ,9,2300,17,3,1900,250,FALSE,250
992,Fruits & Vegetables,Chilli Green ,10,1900,15,3,1600,100,FALSE,100
947,Fruits & Vegetables,Banana Robusta,11,2900,17,3,2400,348,FALSE,6
947,Fruits & Vegetables,Garlic Indian ,12,1100,18,3,900,100,FALSE,100
915,Fruits & Vegetables,Cauliflower,13,2600,15,3,2200,58,FALSE,1
967,Fruits & Vegetables,Ginger,14,1400,14,3,1200,200,FALSE,200
957,Fruits & Vegetables,Spinach,15,1900,15,3,1600,250,FALSE,250
963,Fruits & Vegetables,Muskmelon,16,4200,16,3,3500,58,FALSE,1
927,Fruits & Vegetables,Cabbage ,17,1500,13,3,1300,58,FALSE,1
944,Fruits & Vegetables,Methi,18,3000,16,3,2500,250,FALSE,250
927,Fruits & Vegetables,Broccoli,19,3600,16,3,3000,500,FALSE,500
1000,Fruits & Vegetables,Sapota,20,3000,16,3,2500,348,FALSE,6
985,Fruits & Vegetables,Onion,21,6800,16,3,5700,3000,FALSE,3
988,Fruits & Vegetables,Potato,22,10000,16,3,8400,3000,FALSE,3
961,Fruits & Vegetables,Orange Nagpur,23,8200,15,3,6900,232,FALSE,4
908,Fruits & Vegetables,Mint Leaves ,24,1100,18,3,900,100,FALSE,100
978,Fruits & Vegetables,Beans French,25,3300,15,3,2800,250,FALSE,250
909,Fruits & Vegetables,Bottle Gourd ,26,2600,15,3,2200,58,FALSE,1
988,Fruits & Vegetables,Banana Elaichi ,27,5800,15,3,4900,348,FALSE,6
925,Fruits & Vegetables,Coconut Big,28,3600,16,3,3000,58,FALSE,1
994,Fruits & Vegetables,Curry Leaves,29,1300,15,3,1100,50,FALSE,50
915,Fruits & Vegetables,Brinjal Bharta,30,1900,15,3,1600,58,FALSE,1
968,Fruits & Vegetables,Lettuce Iceberg,31,2500,16,3,2100,250,FALSE,250
993,Fruits & Vegetables,Papaya,32,5400,16,3,4500,58,FALSE,1
966,Fruits & Vegetables,Apple Shimla,33,14200,16,3,11900,232,FALSE,4
970,Fruits & Vegetables,Bitter Gourd,34,1800,16,3,1500,250,FALSE,250
959,Fruits & Vegetables,Brinjal Small,35,1800,16,3,1500,250,FALSE,250
989,Fruits & Vegetables,Sweet Corn,36,3600,16,3,3000,116,FALSE,2
927,Fruits & Vegetables,Spring Onion ,37,1800,16,3,1500,250,FALSE,250
907,Fruits & Vegetables,Bell Peppers Red & Yellow ,38,11800,16,3,9900,116,FALSE,2
901,Fruits & Vegetables,Pomegranate ,39,10600,16,3,8900,116,FALSE,2
927,Fruits & Vegetables,Sweet Lime,40,3000,16,3,2500,116,FALSE,2
986,Fruits & Vegetables,Baby Potato,41,1900,15,3,1600,500,FALSE,500
955,Fruits & Vegetables,Coccinia,42,3200,15,3,2700,250,FALSE,250
917,Fruits & Vegetables,Guava,43,5400,16,3,4500,232,FALSE,4
958,Fruits & Vegetables,Apple Washington,44,17700,15,3,14900,232,FALSE,4
984,Fruits & Vegetables,Amla,45,3200,15,3,2700,250,FALSE,250
968,Fruits & Vegetables,Beans Cluster,46,3000,16,3,2500,250,FALSE,250
996,Fruits & Vegetables,Apple Royal Gala,47,18900,15,3,15900,232,FALSE,4
980,Fruits & Vegetables,Chilli Bhaji,48,3000,16,3,2500,250,FALSE,250
964,Fruits & Vegetables,Lettuce Green,49,2300,17,3,1900,100,FALSE,100
913,Fruits & Vegetables,Baby Corn Peeled,50,3500,17,3,2900,250,FALSE,250
997,Fruits & Vegetables,Mixed Sprouts,51,3500,17,3,2900,200,FALSE,200
934,Fruits & Vegetables,Zucchini Green,52,3500,17,3,2900,250,FALSE,250
982,Fruits & Vegetables,Beans Broad,53,4200,16,3,3500,250,FALSE,250
946,Fruits & Vegetables,Raw Banana,54,2000,15,6,1700,500,FALSE,500
987,Fruits & Vegetables,Colocasia ,55,2900,17,6,2400,500,FALSE,500
916,Fruits & Vegetables,Tomato Cherry ,56,3500,17,3,2900,200,FALSE,200
920,Fruits & Vegetables,Sweet Potato ,57,3800,15,3,3200,500,FALSE,500
910,Fruits & Vegetables,Pineapple Slice,58,8900,15,3,7500,200,FALSE,200
982,Fruits & Vegetables,Orange,59,5400,16,3,4500,116,FALSE,2
989,Fruits & Vegetables,Dragon Fruit Imported,60,7000,15,3,5900,58,FALSE,1
936,Fruits & Vegetables,Zucchini Yellow,61,4200,16,3,3500,250,FALSE,500
907,Fruits & Vegetables,Apple Kinnaur,62,14200,16,6,11900,232,FALSE,4
988,Fruits & Vegetables,Pineapple,63,9400,15,3,7900,58,FALSE,1
924,Fruits & Vegetables,Basil,64,2000,15,3,1700,100,FALSE,100
941,Fruits & Vegetables,Parsley,65,1700,17,3,1400,100,FALSE,100
938,Fruits & Vegetables,Ridge Gourd,66,3000,16,3,2500,500,FALSE,500
980,Fruits & Vegetables,Papaya Cut,67,4600,15,3,3900,200,FALSE,200
983,Fruits & Vegetables,Pomegranate Peeled,68,5800,15,2,4900,100,FALSE,100
923,Fruits & Vegetables,Pear Green Imported,69,8200,15,3,6900,116,FALSE,2
979,Fruits & Vegetables,Guava Thai,70,7000,15,3,5900,116,FALSE,2
941,Fruits & Vegetables,Lettuce Red,71,2000,15,3,1700,100,FALSE,100
921,Fruits & Vegetables,Mango Raw,72,6000,16,3,5000,500,FALSE,500
935,Fruits & Vegetables,Biryani /Pulav Mix,73,5800,15,3,4900,250,FALSE,250
929,Fruits & Vegetables,Banana Nendran,74,5400,16,6,4500,500,FALSE,500
924,Fruits & Vegetables,Pumpkin Cut,75,3000,16,3,2500,200,FALSE,200
999,Fruits & Vegetables,Banana Red,76,5400,16,6,4500,500,FALSE,500
924,Fruits & Vegetables,Radish White,77,2300,17,6,1900,500,FALSE,500
